,Net1_NT1,Net2_NT1,Net3_NT1,Net4_NT1,Net5_NT1
165,-608.8509,-347.00272,-166.03848,-7.7923565,-2.2686214
166,-494.35608,-379.14682,-191.85922,-14.459511,7.0097275
167,-358.25098,-410.2058,-242.40817,-35.514812,27.628983
168,-260.13586,-433.22318,-286.48248,-54.23434,27.536911
169,-198.92969,-447.5424,-273.43573,-37.510056,39.392773
170,-128.32928,-461.13916,-226.92307,-22.8988,61.914303
171,-45.73236,-484.1372,-212.3353,-31.4918,56.452435
172,50.728943,-526.2366,-210.90872,-27.108105,61.24577
173,146.9588,-576.34424,-184.21582,-9.514563,97.53212
174,182.63596,-590.23346,-143.95627,-4.832034,119.60097
175,192.448,-590.28107,-115.62145,-12.352499,109.92351
176,249.86174,-632.9813,-89.88447,-22.305216,85.78046
177,304.99835,-678.49365,-76.47825,-30.822687,65.83989
178,332.4662,-689.3943,-88.57986,-46.11291,74.21344
179,358.70065,-687.01855,-86.12487,-75.37468,83.372116
180,355.0556,-690.6888,-54.064873,-99.87063,54.605663
181,315.9566,-678.3152,-26.327263,-98.06882,27.732357
182,325.07834,-649.8335,-11.672081,-81.52942,31.607357
183,377.34918,-642.2184,-18.263947,-82.94304,32.69476
184,400.1665,-645.0474,-28.553917,-104.66462,21.0256
185,391.2975,-612.38556,-31.46579,-121.415634,24.201664
186,391.49146,-586.76294,-50.34446,-126.83093,39.133896
187,392.13876,-590.74475,-60.603783,-118.078026,37.680386
188,359.92468,-563.5681,-54.829353,-106.504555,36.238205
189,330.3675,-522.44446,-79.52703,-111.70303,45.073174
190,322.10886,-505.52942,-88.73812,-112.81125,36.817177
191,288.72336,-474.41617,-41.17653,-96.8282,25.80872
192,241.24774,-429.4012,-29.928406,-86.9643,35.840668
193,200.8982,-398.50824,-42.79467,-84.33167,48.245213
194,143.54895,-368.57642,-11.75325,-76.56284,51.404613
195,92.983246,-326.73428,7.884117,-73.271484,34.741257
196,89.064804,-290.50577,-3.7993774,-72.85091,21.5904
197,80.91472,-259.0052,0.8863144,-61.8777,35.847607
198,41.21309,-233.65852,10.338013,-44.789238,39.372494
199,15.947433,-218.45348,4.5313187,-32.418114,25.538464
200,8.556717,-200.22266,17.828335,-21.554104,21.284203
201,8.360458,-195.26222,42.988503,-16.976542,29.804283
202,16.328308,-208.9349,31.980873,-18.430462,45.2782
203,7.4561005,-194.24622,22.920963,-11.247267,59.14201
204,-11.152313,-173.12468,48.369698,-7.946628,54.04633
205,-32.52304,-175.3039,61.589153,-25.11327,32.240356
206,-59.12549,-170.00685,63.539993,-36.546898,4.3064327
207,-75.68979,-163.18338,63.496082,-29.105171,-12.189355
208,-92.04797,-169.55588,27.985004,-28.282433,-6.1540937
209,-93.45996,-178.05952,-19.806229,-42.586685,3.0879097
210,-86.967804,-187.36691,-27.55259,-57.80854,2.923893
211,-103.171936,-199.80908,-12.043907,-71.320435,-0.47537422
212,-113.34393,-208.43596,-11.155731,-77.0059,4.0632496
213,-124.25888,-209.81189,-12.026817,-61.122932,13.910919
