,Net1_M1,Net2_M1,Net3_M1,Net4_M1,Net5_M1
165,-105.655426,-241.0761,-60.227135,57.223866,62.412144
166,-51.29904,-207.07072,-56.69889,33.272015,64.89371
167,-1.7581177,-156.76543,-89.12159,7.529544,75.185
168,52.244843,-127.30147,-127.212776,-11.271681,85.51709
169,97.14145,-88.178024,-120.030464,-10.967638,65.61424
170,129.3179,-32.14272,-107.51777,-7.7947254,49.472492
171,188.93127,-15.489318,-129.93594,-29.74609,57.162807
172,279.70712,-47.717583,-139.78824,-64.039375,44.57702
173,339.40628,-62.840847,-129.61584,-70.70829,30.309444
174,363.62936,-56.44315,-143.12091,-71.440445,56.418064
175,400.27866,-67.42031,-146.76984,-74.68477,90.997604
176,426.40454,-54.361526,-125.77781,-71.19061,95.01228
177,404.80875,-0.369524,-127.39597,-77.59182,87.62962
178,382.80518,23.749199,-143.3154,-87.846954,87.04376
179,370.14044,20.921242,-142.41943,-91.44733,72.07863
180,356.9713,26.447384,-146.86227,-101.01242,55.458767
181,351.69568,41.353233,-166.51721,-99.507225,62.34608
182,308.53464,93.991714,-163.04614,-79.600044,69.35875
183,247.68002,135.3885,-139.05359,-71.825615,48.059357
184,226.72435,123.36119,-121.42655,-77.84255,20.67622
185,207.07367,127.6143,-108.556114,-68.06043,43.40556
186,166.67854,165.12366,-87.954384,-37.98264,84.56271
187,125.73383,200.15584,-47.706688,-11.885733,80.36528
188,109.0177,217.88371,-12.188263,9.887687,74.15947
189,107.509705,228.82689,-13.67379,39.345024,100.592224
190,73.186295,246.47528,-21.392021,41.085823,106.33664
191,49.569412,244.9037,-23.400032,17.562607,84.80261
192,87.7708,229.11974,-45.120888,4.639535,89.34479
193,89.808975,240.8087,-55.89231,-6.057186,103.75726
194,-2.3866425,274.91095,-35.521324,-17.362526,72.19023
195,-83.61432,294.09137,-17.748955,-23.26728,40.49115
196,-100.83084,313.67053,-23.767593,-16.336937,61.850246
197,-139.70135,354.86395,-27.873787,7.557681,79.90871
198,-185.9704,386.05585,-25.039253,17.68253,63.905552
199,-193.7044,388.76404,-31.01461,9.983722,46.63251
200,-227.8269,379.34216,-31.434036,5.898883,35.89018
201,-269.35092,381.58243,-47.49643,8.433017,35.694756
202,-272.54407,384.24237,-82.01205,16.539146,45.046307
203,-296.1579,374.9721,-95.95138,24.779675,50.437157
204,-343.75183,376.48538,-93.68862,36.699604,64.5798
205,-381.06775,391.06464,-57.353355,55.26318,72.99687
206,-406.28418,387.83347,2.2372437,80.56682,61.116467
207,-411.55035,372.71448,19.981964,98.28544,59.721287
208,-415.3341,385.0389,34.2779,91.54616,59.38683
209,-436.61713,376.89008,54.99149,79.415405,45.188858
210,-459.50507,341.21844,45.7424,74.410934,49.42386
211,-474.48737,344.76047,51.480423,66.77303,53.22617
212,-478.4654,340.7328,77.329216,65.37751,31.820518
213,-488.66016,307.9355,80.1865,61.566036,32.356754
214,-493.93445,299.9196,55.631355,30.861877,61.461254
215,-475.04047,301.43597,33.557648,20.018906,59.956615
216,-476.4925,286.03766,54.90684,57.314777,44.581944
217,-477.20044,252.55675,74.710495,84.82378,57.68218
218,-448.78192,223.2145,37.376488,90.00498,48.42166
219,-451.9859,216.72089,9.056915,97.88395,8.590357
220,-482.93427,203.65904,11.027138,106.98714,3.212222
221,-497.93982,163.44165,-4.3000946,115.56642,5.122263
222,-521.2404,135.20267,-23.473412,113.12369,-1.109313
