,coords,areas,subjs,regions
124,[-36112.4228787    2592.94389476 -46176.85796612],['TP' 'TP'],BJH072,TP
125,[-32256.78838513  -6628.52519775 -42990.775122  ],['PRH' 'PRH'],BJH072,PRH
126,[-36000.40288855  -6731.97969734 -42393.50705203],['PRH' 'PRH'],BJH072,PRH
127,[-39712.93338855  -6924.74569734 -42375.33505203],['PRH' 'PRH'],BJH072,PRH
128,[-43425.46388855  -7117.51169734 -42357.16305203],['PRH' 'PRH'],BJH072,PRH
129,[-47124.62238819  -7798.85175205 -42294.59752382],['ITG' 'ITG'],BJH072,VS
130,[-50823.78088783  -8480.19180676 -42232.03199561],['ITG' 'ITG'],BJH072,VS
131,[-42002.11542923 -15556.01778577 -33369.73550827],['FUG' 'FUG'],BJH072,VS
132,[-45714.64592923 -15748.78378577 -33351.56350827],['FUG' 'FUG'],BJH072,VS
133,[-49427.17642923 -15941.54978577 -33333.39150827],['ITS' 'ITS'],BJH072,VS
134,[-53139.70692923 -16134.31578577 -33315.21950827],['ITS' 'ITS'],BJH072,VS
135,[-56865.6094296  -15838.50773106 -33341.44103648],['MTG' 'MTG'],BJH072,MTG
136,[-60591.51192996 -15542.69967635 -33367.6625647 ],['MTG' 'MTG'],BJH072,MTG
137,[-20287.32698728  13970.68978235 -29597.34431862],['OFC' 'OFC'],BJH072,OFC
138,[-24044.31349107  14355.80933747 -29044.46977687],['OFC' 'OFC'],BJH072,OFC
139,[-27270.93849486  14768.46689258 -28494.19123512],['OFC' 'OFC'],BJH072,OFC
140,[-31014.55299828  14665.01239299 -27896.92316515],['OFC' 'OFC'],BJH072,OFC
141,[-34771.53950207  15050.13194811 -27344.0486234 ],['OFC' 'OFC'],BJH072,OFC
142,[-38528.52600586  15435.25150322 -26791.17408165],['OFC' 'OFC'],BJH072,OFC
143,[-42272.14050929  15331.79700363 -26193.90601169],['OFC' 'OFC'],BJH072,OFC
144,[-46029.12701308  15716.91655875 -25641.03146994],['TP' 'TP'],BJH072,TP
145,[-49786.11351687  16102.03611386 -25088.15692819],['TP' 'TP'],BJH072,TP
146,[-11215.70265909  -7376.21720367   5224.3556511 ],['ANT' 'ANT'],BJH072,N
147,[-14879.43715261  -7259.03214978   4039.94198296],['ANT' 'ANT'],BJH072,N
148,[-18529.79964575  -7630.4211506    2899.92184303],['PAL' 'PAL'],BJH072,N
149,[-22211.24614233  -7912.49865101   2338.99777306],['PAL' 'PAL'],BJH072,N
150,[-25892.6926389   -8194.57615142   1778.0737031 ],['PAL' 'PAL'],BJH072,N
151,[-29012.69363205  -8538.42715223    635.45756317],['CAUD' 'CAUD'],BJH072,N
152,[-32663.0561252   -8909.81615305   -504.56257676],['CAUD' 'CAUD'],BJH072,N
153,[-36344.50262178  -9191.89365346  -1065.48664672],['CAUD' 'CAUD'],BJH072,N
154,[-40039.32111872  -8985.39709916  -1670.8042449 ],['INS' 'INS'],BJH072,INS
155,[-43703.05561223  -8868.21204527  -2855.21791304],['INS' 'INS'],BJH072,INS
156,[-46823.05660538  -9212.06304609  -3997.83405297],['INS' 'INS'],BJH072,INS
157,[-50504.50310195  -9494.1405465   -4558.75812293],['STG' 'STG'],BJH072,STG
158,[-54185.94959853  -9776.21804691  -5119.68219289],['STG' 'STG'],BJH072,STG
159,[-57836.31209168 -10147.60704772  -6259.70233282],['STG' 'STG'],BJH072,STG
160,[-61486.67458483 -10518.99604854  -7399.72247275],['STG' 'STG'],BJH072,STG
161,[-65137.03707798 -10890.38504936  -8539.74261268],['STG' 'STG'],BJH072,STG
162,[-38177.33910514   8976.07697645  -8000.91087672],['INS' 'INS'],BJH072,INS
163,[-38934.32062678  10950.13014303  -4656.91904158],['INS' 'INS'],BJH072,INS
164,[-39691.30214842  12924.1833096   -1312.92720643],['INS' 'INS'],BJH072,INS
165,[-39917.92217006  14925.77447618   2028.46862871],['INS' 'INS'],BJH072,INS
166,[-40719.3596955   17477.71319787   5907.1630056 ],['IFG' 'IFG'],BJH072,VLPFC
167,[-41507.42522056  19541.07786486   9830.25091071],['IFG' 'IFG'],BJH072,VLPFC
168,[-42264.40674221  21515.13103143  13174.24274585],['IFG' 'IFG'],BJH072,VLPFC
169,[-43021.38826385  23489.18419801  16518.234581  ],['IFG' 'IFG'],BJH072,VLPFC
170,[-43778.36978549  25463.23736458  19862.22641614],['IFG' 'IFG'],BJH072,VLPFC
171,[-44548.7233075   27925.86458586  23161.82472307],['MFG' 'MFG'],BJH072,DLPFC
172,[-44775.34332914  29927.45575244  26503.22055821],['MFG' 'MFG'],BJH072,DLPFC
173,[-45532.32485079  31901.50891902  29847.21239336],['MFG' 'MFG'],BJH072,DLPFC
174,[-46302.67837279  34364.1361403   33146.81070028],['MFG' 'MFG'],BJH072,DLPFC
175,[-3979.78813739 36068.10776817 -8119.93253575],['ACC' 'ACC'],BJH072,ACC
176,[-7767.8586446  36542.5388237  -6987.96192403],['ACC' 'ACC'],BJH072,ACC
177,[-11025.56765181  37044.50787922  -5858.58731232],['ACC' 'ACC'],BJH072,ACC
178,[-14800.26615867  37030.36488004  -4682.22317239],['ACC' 'ACC'],BJH072,ACC
179,[-43549.1697225   40109.90221564   5612.73291768],['MFG' 'MFG'],BJH072,DLPFC
180,[-46793.50672935  40123.29721646   6786.50105761],['MFG' 'MFG'],BJH072,DLPFC
181,[-50581.57723657  40597.72827199   7918.47166932],['MFG' 'MFG'],BJH072,DLPFC
182,[-43407.46363515 -32225.17677574   6313.6113372 ],['A1' 'A1'],BJH072,A1
183,[-46067.95114054 -34138.53999375   7662.35758998],['A1' 'A1'],BJH072,A1
184,[-48697.35464251 -36141.21471217   8432.0077728 ],['A1' 'A1'],BJH072,A1
185,[-51857.11964448 -38171.4274306    9204.25395562],['A1' 'A1'],BJH072,A1
186,[-55047.96864988 -40112.32864861  10555.5962084 ],['A1' 'A1'],BJH072,A1
187,[-57708.45615527 -42025.69186662  11904.34246118],['STG' 'STG'],BJH072,STG
188,[-60368.94366067 -43939.05508463  13253.08871396],['STG' 'STG'],BJH072,STG
189,[-63528.70866264 -45969.26780305  14025.33489678],['STG' 'STG'],BJH072,STG
